dataset,depth,seed,factor,cls,p
spirals,2,9,0.125,1,1.18502e-06
spirals,4,0,4.0,0,0.00725514
spirals,4,0,4.0,1,0.0195059
spirals,4,0,2.0,0,0.00210526
spirals,4,0,2.0,1,0.00130463
spirals,4,0,1.0,0,0.000150083
spirals,4,0,1.0,1,0.000326851
spirals,4,0,0.5,0,9.38298e-05
spirals,4,0,0.5,1,6.12645e-05
spirals,4,0,0.25,0,1.88017e-05
spirals,4,0,0.25,1,2.54806e-05
spirals,4,0,0.125,0,4.69609e-06
spirals,4,0,0.125,1,3.82542e-06
spirals,4,1,4.0,0,0.00628141
spirals,4,1,4.0,1,0.00125
spirals,4,1,2.0,0,0.000946372
spirals,4,1,2.0,1,0.000622278
spirals,4,1,1.0,0,7.8064e-05
spirals,4,1,1.0,1,0.000156974
spirals,4,1,0.5,0,0
spirals,4,1,0.5,1,7.84837e-05
spirals,4,1,0.25,0,0
spirals,4,1,0.25,1,1.95826e-05
spirals,4,1,0.125,0,4.89354e-06
spirals,4,1,0.125,1,7.34925e-06
spirals,4,2,4.0,0,0.00510204
spirals,4,2,4.0,1,0.00352941
spirals,4,2,2.0,0,0.00286624
spirals,4,2,2.0,1,0.00235571
spirals,4,2,1.0,0,0.000242758
spirals,4,2,1.0,1,0.000367269
spirals,4,2,0.5,0,0.000100412
spirals,4,2,0.5,1,0.000146959
spirals,4,2,0.25,0,1.51178e-05
spirals,4,2,0.25,1,3.21397e-05
