oracle_rank,name,oracle,direct_dependents,dependents_rank
516,default-jdk-doc,11.2194,58,479
517,libcap2-bin,11.2070,33,880
518,libxcb-xinerama0,11.1839,11,2620
519,libactivation-java,11.1674,11,2620
520,librte-log25,11.1563,212,98
521,php8.4-common,11.0621,73,364
522,libsystemd-shared,11.0604,15,1961
523,libpcsclite1,11.0567,29,1022
524,php-symfony-deprecation-contracts,11.0399,50,555
525,systemd,10.9950,107,251
526,liblwp-mediatypes-perl,10.9938,3,8288
527,libhttp-message-perl,10.9753,86,313
528,libcommons-codec-java,10.9741,41,706
529,libio-html-perl,10.9686,2,11119
530,libhtml-tree-perl,10.8988,33,880
531,libc6.1-alpha-cross,10.8696,17,1702
532,libxau-dev,10.8661,4,6533
533,libpq5,10.8597,136,188
534,python3-markupsafe,10.8535,29,1022
535,libxdmcp-dev,10.8511,3,8288
536,libpopt0,10.8465,77,352
537,libpam-runtime,10.8398,43,678
538,libfftw3-double3,10.8104,144,177
539,libxcb1-dev,10.7749,40,728
540,sed,10.7580,5,5417
541,libstdc++-14-dev,10.7558,23,1266
542,libqt5gui5t64,10.7454,894,17
543,libvorbisfile3,10.7430,99,271
544,librte-kvargs25,10.7277,207,106
545,libdevel-stacktrace-perl,10.7268,17,1702
546,librte-telemetry25,10.7177,207,106
547,libssl-dev,10.7089,114,226
548,python3-bcrypt,10.6704,19,1511
549,libc6-armhf-cross,10.6551,21,1375
550,unzip,10.6460,38,767
551,librte-eal25,10.6368,210,100
552,mysql-common,10.6251,1,16422
553,libwebpdemux2,10.5953,31,938
554,gir1.2-glib-2.0,10.5465,229,87
555,librust-git2-dev,10.5333,11,2620
556,libc6-armel-cross,10.4717,21,1375
557,golang-golang-x-mod-dev,10.4709,14,2110
558,libc6-hppa-cross,10.4195,16,1848
559,libmagic1t64,10.4105,43,678
560,libaec0,10.4102,7,3967
561,libheif-plugin-dav1d,10.3711,2,11119
561,libheif-plugin-libde265,10.3711,4,6533
561,libheif1,10.3711,41,706
564,golang-github-rivo-uniseg-dev,10.3662,11,2620
565,libmagic-mgc,10.3472,1,16422
566,libde265-0,10.3407,4,6533
567,libaom3,10.3167,8,3517
568,libmbedcrypto16,10.1460,28,1060
569,libpackage-stash-perl,10.0623,15,1961
570,mariadb-common,10.0451,4,6533
571,libc6-powerpc-cross,10.0397,18,1589
572,libfftw3-single3,10.0316,93,285
573,libpython3.13,10.0237,234,85
574,libgc1,10.0235,28,1060
575,debian-edu-doc-legacy-en,10.0000,10,2896
576,libsvtav1enc2,9.9811,9,3180
577,libts0t64,9.9698,4,6533
578,ros-std-msgs,9.9567,7,3967
579,libaspell15,9.9087,17,1702
580,golang-github-yuin-goldmark-dev,9.9085,6,4529
581,libjs-inherits,9.8900,1,16422
582,libosgi-core-java,9.8754,13,2260
583,liblwp-protocol-https-perl,9.8544,35,825
583,libwww-perl,9.8544,297,65
585,xml-core,9.8317,17,1702
586,libgmp-dev,9.7937,113,228
587,golang-github-mattn-go-isatty-dev,9.7367,30,981
588,libqt6gui6,9.7090,957,15
589,libclass-inspector-perl,9.7024,24,1216
590,cpp-14-x86-64-linux-gnu,9.6894,4,6533
591,librevenge-0.0-0,9.6778,72,372
592,libnet-http-perl,9.6687,7,3967
593,libjaxen-java,9.6515,10,2896
594,libhttp-cookies-perl,9.6476,12,2422
595,libqt6network6,9.6407,292,67
596,libfile-listing-perl,9.6328,2,11119
597,libhttp-negotiate-perl,9.6319,5,5417
598,libwww-robotrules-perl,9.6232,1,16422
599,libmariadb3,9.6177,115,223
600,libwrap0,9.6093,56,494
601,libclass-method-modifiers-perl,9.5852,21,1375
602,libgnat-14,9.5758,50,555
603,gcc-13-base,9.5447,88,304
604,xz-utils,9.5323,59,466
605,libnl-route-3-200,9.5224,23,1266
606,libxcb-cursor0,9.4788,11,2620
607,libpcre2-32-0,9.4720,13,2260
608,libfontenc1,9.4391,3,8288
609,php-psr-container,9.4278,12,2422
610,librav1e0.7,9.4177,5,5417
611,libtalloc2,9.3748,89,300
612,libc6-m68k-cross,9.3191,13,2260
613,libprotobuf32t64,9.2825,77,352
614,golang-golang-x-exp-dev,9.2824,30,981
615,golang-github-mattn-go-runewidth-dev,9.2801,35,825
616,libsz2,9.2065,10,2896
617,libexporter-tiny-perl,9.0950,21,1375
618,libbcprov-java,9.0576,25,1165
619,librole-tiny-perl,9.0560,18,1589
620,php-psr-log,8.9908,25,1165
621,libc6-i386,8.9754,31,938
622,libqt5widgets5t64,8.9544,694,24
623,cl-std-msgs,8.9244,6,4529
624,libunwind8,8.9217,29,1022
625,node-inherits,8.9100,47,605
626,libboost-program-options1.83.0,8.9012,137,187
627,rime-data-stroke,8.8833,5,5417
628,python3-cryptography,8.8303,174,142
629,fonts-glyphicons-halflings,8.8266,18,1589
630,ruby-minitest,8.7548,14,2110
631,libalgorithm-c3-perl,8.7293,1,16422
632,libclass-c3-perl,8.7224,5,5417
633,python3-tomli,8.7167,75,361
634,libusb-0.1-4,8.7167,31,938
635,libmro-compat-perl,8.7110,47,605
636,golang-golang-x-tools-dev,8.6784,29,1022
637,libimagequant0,8.6658,6,4529
638,libpaper-utils,8.6576,6,4529
639,libsub-quote-perl,8.6557,14,2110
640,libgcc-s1-armhf-cross,8.6551,20,1435
641,libjson-perl,8.6517,153,168
642,python3-lxml,8.6299,177,136
643,libtest-simple-perl,8.5892,52,530
644,libpcre2-posix3,8.5683,14,2110
645,libterm-table-perl,8.5461,3,8288
646,javascript-common,8.5230,12,2422
647,xfonts-utils,8.5172,89,300
648,libvariable-magic-perl,8.5012,3,8288
649,ruby-connection-pool,8.4800,5,5417
650,xfonts-encodings,8.4755,1,16422
651,librte-ring25,8.4740,181,131
652,libgcc-s1-armel-cross,8.4717,20,1435
653,gcc-12-base,8.4704,58,479
654,libevent-core-2.1-7t64,8.4475,24,1216
655,libsub-identify-perl,8.4132,5,5417
656,librsvg2-2,8.3629,85,317
657,libsctp1,8.3506,16,1848
658,libfile-sharedir-perl,8.3453,59,466
659,libxtst6,8.3256,84,323
660,libb-hooks-endofscope-perl,8.3030,11,2620
661,liblzo2-2,8.3002,42,695
662,cpp-14,8.2903,4,6533
663,make,8.2805,61,448
664,librte-mempool25,8.2584,180,132
665,libxaw7,8.1578,69,396
666,gcc-14-x86-64-linux-gnu,8.0859,8,3517
667,libx11-dev,8.0794,114,226
668,libonig5,8.0623,9,3180
669,libllvm17t64,8.0332,23,1266
670,libnamespace-clean-perl,8.0182,126,201
671,golang-gopkg-yaml.v2-dev,7.9402,35,825
672,libtinyxml2.6.2v5,7.9389,41,706
673,python3-six,7.9279,165,153
674,uuid-dev,7.9195,26,1116
675,librte-mbuf25,7.9187,175,141
676,libc6-loong64-cross,7.8977,15,1961
677,libgcc-s1-ppc64-cross,7.8891,19,1511
678,libc6-arc-cross,7.8732,9,3180
679,libosgi-compendium-java,7.8704,19,1511
680,libmbedx509-7,7.8596,19,1511
681,libxml-commons-external-java,7.8294,19,1511
682,r-cran-lattice,7.8111,44,655
683,libgcc-s1-powerpc-cross,7.7897,17,1702
684,libibumad3,7.7839,17,1702
